InvoiceNumber,Item,Date,Amount,Tax,Total,Currency
209386,IT Support,2017-01-08,101446,20289.2,121735,EUR
953747,Beverages and Catering,2017-01-18,151490,30298,181788,RON
446424,Waste management services,2017-01-06,219406,43881.2,263287,RON
498821,Waste management services,2017-01-20,28543,5708.6,34251.6,EUR
312831,Beverages and Catering,2017-03-11,166298,33259.6,199558,CAD
763978,Various paper supplies,2017-04-19,125231,25046.2,150277,CAD
830453,Waste management services,2017-06-26,135157,27031.4,162188,RON
970002,Concierge Services,2017-07-25,13256,2651.2,15907.2,RON
340280,Professional Services,2017-08-26,232358,46471.6,278830,EUR
404404,IT Support,2017-08-04,90919,18183.8,109103,RON
391477,Waste management services,2017-09-03,265034,53006.8,318041,RON
447009,Concierge Services,2017-09-04,124050,24810,148860,RON
582522,IT Support,2017-09-08,291772,58354.4,350126,EUR
964623,Waste management services,2017-10-14,48212,9642.4,57854.4,EUR
270096,IT Support,2017-10-07,130276,26055.2,156331,EUR
656694,Various paper supplies,2017-11-27,224326,44865.2,269191,CAD
832660,Concierge Services,2017-12-26,230476,46095.2,276571,EUR
