InvoiceNumber,Item,Date,Amount,Tax,Total,Currency
486487,Concierge Services,2017-01-20,184740,36948,221688,EUR
583165,Professional Services,2017-02-22,162940,32588,195528,EUR
132119,Various paper supplies,2017-03-19,110178,22035.6,132214,EUR
212688,Waste management services,2017-03-17,118422,23684.4,142106,EUR
243440,Concierge Services,2017-05-09,201745,40349,242094,RON
462675,Beverages and Catering,2017-06-26,66748,13349.6,80097.6,EUR
943715,Concierge Services,2017-07-28,55541,11108.2,66649.2,CAD
471105,IT Support,2017-08-18,65251,13050.2,78301.2,RON
632136,IT Support,2017-08-06,157327,31465.4,188792,EUR
730919,Waste management services,2017-11-18,32291,6458.2,38749.2,CAD
334340,Professional Services,2017-12-25,144453,28890.6,173344,EUR
