InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
504857,Professional Services,81858,16371.6,98229.6,RON,2017-01-17
368860,Various paper supplies,200385,40077,240462,USD,2017-01-26
198340,IT Support,66967,13393.4,80360.4,EUR,2017-01-22
485322,Professional Services,111795,22359,134154,CAD,2017-02-05
821338,Beverages and Catering,245624,49124.8,294749,RON,2017-03-06
314468,IT Support,105745,21149,126894,CAD,2017-03-19
429315,Waste management services,258737,51747.4,310484,RON,2017-05-27
370992,Beverages and Catering,221522,44304.4,265826,RON,2017-05-13
900382,Waste management services,271836,54367.2,326203,RON,2017-09-12
949801,Beverages and Catering,68129,13625.8,81754.8,CAD,2017-09-03
832620,IT Support,200506,40101.2,240607,RON,2017-10-24
945530,Beverages and Catering,240995,48199,289194,CAD,2017-11-17
364278,Concierge Services,179373,35874.6,215248,CAD,2017-11-27
663504,Waste management services,105297,21059.4,126356,EUR,2017-12-12
119939,Various paper supplies,3939,787.8,4726.8,RON,2017-12-05
